,Country,WHOREGION,FLUREGION,Year,Week,SDATE,EDATE,SPEC_RECEIVED_NB,SPEC_PROCESSED_NB,AH1,AH1N12009,AH3,AH5,ANOTSUBTYPED,INF_A,BYAMAGATA,BVICTORIA,BNOTDETERMINED,INF_B,ALL_INF,ALL_INF2,TITLE
822,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,41,2009-10-05,2009-10-11,,,,,,,,,,,,,,,No Report
823,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,42,2009-10-12,2009-10-18,,,,,,,,,,,,,,,No Report
824,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,43,2009-10-19,2009-10-25,,,,,,,,,,,,,,,No Report
825,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,44,2009-10-26,2009-11-01,,,,,,,,,,,,,,,No Report
826,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,45,2009-11-02,2009-11-08,,,,,,,,,,,,,,,No Report
827,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,46,2009-11-09,2009-11-15,,,,,,,,,,,,,,,No Report
828,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,47,2009-11-16,2009-11-22,,,,,,,,,,,,,,,No Report
829,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,48,2009-11-23,2009-11-29,,,,,,,,,,,,,,,No Report
830,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,49,2009-11-30,2009-12-06,,,,,,,,,,,,,,,No Report
831,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,50,2009-12-07,2009-12-13,,,,,,,,,,,,,,,No Report
832,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,51,2009-12-14,2009-12-20,,,,,,,,,,,,,,,No Report
833,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,52,2009-12-21,2009-12-27,,,,,,,,,,,,,,,No Report
834,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2009,53,2009-12-28,2010-01-03,,,,,,,,,,,,,,,No Report
835,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,1,2010-01-04,2010-01-10,,,,,,,,,,,,,,,No Report
836,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,2,2010-01-11,2010-01-17,,,,,,,,,,,,,,,No Report
837,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,3,2010-01-18,2010-01-24,,,,,,,,,,,,,,,No Report
838,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,4,2010-01-25,2010-01-31,,,,,,,,,,,,,,,No Report
839,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,5,2010-02-01,2010-02-07,,,,,,,,,,,,,,,No Report
840,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,6,2010-02-08,2010-02-14,,,,,,,,,,,,,,,No Report
841,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,7,2010-02-15,2010-02-21,,,,,,,,,,,,,,,No Report
842,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,8,2010-02-22,2010-02-28,,,,,,,,,,,,,,,No Report
843,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,9,2010-03-01,2010-03-07,,,,,,,,,,,,,,,No Report
844,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,10,2010-03-08,2010-03-14,,,,,,,,,,,,,,,No Report
845,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,11,2010-03-15,2010-03-21,,,,,,,,,,,,,,,No Report
846,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,12,2010-03-22,2010-03-28,,,,,,,,,,,,,,,No Report
847,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,13,2010-03-29,2010-04-04,,,,,,,,,,,,,,,No Report
848,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,14,2010-04-05,2010-04-11,,,,,,,,,,,,,,,No Report
849,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,15,2010-04-12,2010-04-18,,,,,,,,,,,,,,,No Report
850,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,16,2010-04-19,2010-04-25,,,,,,,,,,,,,,,No Report
851,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,17,2010-04-26,2010-05-02,,,,,,,,,,,,,,,No Report
852,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,18,2010-05-03,2010-05-09,,,,,,,,,,,,,,,No Report
853,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,19,2010-05-10,2010-05-16,,,,,,,,,,,,,,,No Report
854,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,20,2010-05-17,2010-05-23,,,,,,,,,,,,,,,No Report
855,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,21,2010-05-24,2010-05-30,,,,,,,,,,,,,,,No Report
856,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,22,2010-05-31,2010-06-06,,,,,,,,,,,,,,,No Report
857,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,23,2010-06-07,2010-06-13,,,,,,,,,,,,,,,No Report
858,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,24,2010-06-14,2010-06-20,,,,,,,,,,,,,,,No Report
859,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,25,2010-06-21,2010-06-27,,,,,,,,,,,,,,,No Report
860,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,26,2010-06-28,2010-07-04,,,,,,,,,,,,,,,No Report
861,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,27,2010-07-05,2010-07-11,,,,,,,,,,,,,,,No Report
862,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,28,2010-07-12,2010-07-18,,,,,,,,,,,,,,,No Report
863,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,29,2010-07-19,2010-07-25,,,,,,,,,,,,,,,No Report
864,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,30,2010-07-26,2010-08-01,,,,,,,,,,,,,,,No Report
865,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,31,2010-08-02,2010-08-08,,,,,,,,,,,,,,,No Report
866,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,32,2010-08-09,2010-08-15,,,,,,,,,,,,,,,No Report
867,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,33,2010-08-16,2010-08-22,,,,,,,,,,,,,,,No Report
868,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,34,2010-08-23,2010-08-29,,,,,,,,,,,,,,,No Report
869,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,35,2010-08-30,2010-09-05,,,,,,,,,,,,,,,No Report
870,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,36,2010-09-06,2010-09-12,,,,,,,,,,,,,,,No Report
871,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,37,2010-09-13,2010-09-19,,,,,,,,,,,,,,,No Report
872,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,38,2010-09-20,2010-09-26,,,,,,,,,,,,,,,No Report
873,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,39,2010-09-27,2010-10-03,,,,,,,,,,,,,,,No Report
874,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,40,2010-10-04,2010-10-10,,,,,,,,,,,,,,,No Report
875,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,41,2010-10-11,2010-10-17,,,,,,,,,,,,,,,No Report
876,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,42,2010-10-18,2010-10-24,,,,,,,,,,,,,,,No Report
877,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,43,2010-10-25,2010-10-31,,,,,,,,,,,,,,,No Report
878,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,44,2010-11-01,2010-11-07,,,,,,,,,,,,,,,No Report
879,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,45,2010-11-08,2010-11-14,,,,,,,,,,,,,,,No Report
880,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,46,2010-11-15,2010-11-21,,,,,,,,,,,,,,,No Report
881,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,47,2010-11-22,2010-11-28,,,,,,,,,,,,,,,No Report
882,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,48,2010-11-29,2010-12-05,,,,,,,,,,,,,,,No Report
883,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,49,2010-12-06,2010-12-12,,,,,,,,,,,,,,,No Report
884,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,50,2010-12-13,2010-12-19,,,,,,,,,,,,,,,No Report
885,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,51,2010-12-20,2010-12-26,,,,,,,,,,,,,,,No Report
886,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2010,52,2010-12-27,2011-01-02,,,,,,,,,,,,,,,No Report
887,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,1,2011-01-03,2011-01-09,,,,,,,,,,,,,,,No Report
888,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,2,2011-01-10,2011-01-16,,,,,,,,,,,,,,,No Report
889,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,3,2011-01-17,2011-01-23,,,,,,,,,,,,,,,No Report
890,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,4,2011-01-24,2011-01-30,,,,,,,,,,,,,,,No Report
891,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,5,2011-01-31,2011-02-06,,,,,,,,,,,,,,,No Report
892,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,6,2011-02-07,2011-02-13,,,,,,,,,,,,,,,No Report
893,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,7,2011-02-14,2011-02-20,,,,,,,,,,,,,,,No Report
894,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,8,2011-02-21,2011-02-27,,,,,,,,,,,,,,,No Report
895,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,9,2011-02-28,2011-03-06,,,,,,,,,,,,,,,No Report
896,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,10,2011-03-07,2011-03-13,,,,,,,,,,,,,,,No Report
897,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,11,2011-03-14,2011-03-20,,,,,,,,,,,,,,,No Report
898,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,12,2011-03-21,2011-03-27,,,,,,,,,,,,,,,No Report
899,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,13,2011-03-28,2011-04-03,,,,,,,,,,,,,,,No Report
900,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,14,2011-04-04,2011-04-10,,,,,,,,,,,,,,,No Report
901,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,15,2011-04-11,2011-04-17,,,,,,,,,,,,,,,No Report
902,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,16,2011-04-18,2011-04-24,,,,,,,,,,,,,,,No Report
903,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,17,2011-04-25,2011-05-01,,,,,,,,,,,,,,,No Report
904,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,18,2011-05-02,2011-05-08,,,,,,,,,,,,,,,No Report
905,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,19,2011-05-09,2011-05-15,,,,,,,,,,,,,,,No Report
906,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,20,2011-05-16,2011-05-22,,,,,,,,,,,,,,,No Report
907,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,21,2011-05-23,2011-05-29,,,,,,,,,,,,,,,No Report
908,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,22,2011-05-30,2011-06-05,,,,,,,,,,,,,,,No Report
909,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,23,2011-06-06,2011-06-12,,,,,,,,,,,,,,,No Report
910,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,24,2011-06-13,2011-06-19,,,,,,,,,,,,,,,No Report
911,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,25,2011-06-20,2011-06-26,,,,,,,,,,,,,,,No Report
912,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,26,2011-06-27,2011-07-03,,,,,,,,,,,,,,,No Report
913,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,27,2011-07-04,2011-07-10,,,,,,,,,,,,,,,No Report
914,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,28,2011-07-11,2011-07-17,,,,,,,,,,,,,,,No Report
915,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,29,2011-07-18,2011-07-24,,,,,,,,,,,,,,,No Report
916,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,30,2011-07-25,2011-07-31,,,,,,,,,,,,,,,No Report
917,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,31,2011-08-01,2011-08-07,,,,,,,,,,,,,,,No Report
918,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,32,2011-08-08,2011-08-14,,,,,,,,,,,,,,,No Report
919,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,33,2011-08-15,2011-08-21,,,,,,,,,,,,,,,No Report
920,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,34,2011-08-22,2011-08-28,,,,,,,,,,,,,,,No Report
921,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,35,2011-08-29,2011-09-04,,,,,,,,,,,,,,,No Report
922,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,36,2011-09-05,2011-09-11,,,,,,,,,,,,,,,No Report
923,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,37,2011-09-12,2011-09-18,,,,,,,,,,,,,,,No Report
924,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,38,2011-09-19,2011-09-25,,,,,,,,,,,,,,,No Report
925,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,39,2011-09-26,2011-10-02,,,,,,,,,,,,,,,No Report
926,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,40,2011-10-03,2011-10-09,,,,,,,,,,,,,,,No Report
927,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,41,2011-10-10,2011-10-16,,,,,,,,,,,,,,,No Report
928,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,42,2011-10-17,2011-10-23,,,,,,,,,,,,,,,No Report
929,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,43,2011-10-24,2011-10-30,,,,,,,,,,,,,,,No Report
930,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,44,2011-10-31,2011-11-06,,,,,,,,,,,,,,,No Report
931,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,45,2011-11-07,2011-11-13,,,,,,,,,,,,,,,No Report
932,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,46,2011-11-14,2011-11-20,,,,,,,,,,,,,,,No Report
933,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,47,2011-11-21,2011-11-27,,,,,,,,,,,,,,,No Report
934,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,48,2011-11-28,2011-12-04,,,,,,,,,,,,,,,No Report
935,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,49,2011-12-05,2011-12-11,,,,,,,,,,,,,,,No Report
936,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,50,2011-12-12,2011-12-18,,,,,,,,,,,,,,,No Report
937,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,51,2011-12-19,2011-12-25,,,,,,,,,,,,,,,No Report
938,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2011,52,2011-12-26,2012-01-01,,,,,,,,,,,,,,,No Report
939,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,1,2012-01-02,2012-01-08,,,,,,,,,,,,,,,No Report
940,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,2,2012-01-09,2012-01-15,,,,,,,,,,,,,,,No Report
941,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,3,2012-01-16,2012-01-22,,,,,,,,,,,,,,,No Report
942,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,4,2012-01-23,2012-01-29,,,,,,,,,,,,,,,No Report
943,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,5,2012-01-30,2012-02-05,,,,,,,,,,,,,,,No Report
944,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,6,2012-02-06,2012-02-12,,,,,,,,,,,,,,,No Report
945,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,7,2012-02-13,2012-02-19,,,,,,,,,,,,,,,No Report
946,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,8,2012-02-20,2012-02-26,,,,,,,,,,,,,,,No Report
947,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,9,2012-02-27,2012-03-04,,,,,,,,,,,,,,,No Report
948,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,10,2012-03-05,2012-03-11,,,,,,,,,,,,,,,No Report
949,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,11,2012-03-12,2012-03-18,,,,,,,,,,,,,,,No Report
950,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,12,2012-03-19,2012-03-25,,,,,,,,,,,,,,,No Report
951,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,13,2012-03-26,2012-04-01,,,,,,,,,,,,,,,No Report
952,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,14,2012-04-02,2012-04-08,,,,,,,,,,,,,,,No Report
953,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,15,2012-04-09,2012-04-15,,,,,,,,,,,,,,,No Report
954,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,16,2012-04-16,2012-04-22,,,,,,,,,,,,,,,No Report
955,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,17,2012-04-23,2012-04-29,,,,,,,,,,,,,,,No Report
956,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,18,2012-04-30,2012-05-06,,,,,,,,,,,,,,,No Report
957,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,19,2012-05-07,2012-05-13,,,,,,,,,,,,,,,No Report
958,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,20,2012-05-14,2012-05-20,,,,,,,,,,,,,,,No Report
959,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,21,2012-05-21,2012-05-27,,,,,,,,,,,,,,,No Report
960,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,22,2012-05-28,2012-06-03,,,,,,,,,,,,,,,No Report
961,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,23,2012-06-04,2012-06-10,,,,,,,,,,,,,,,No Report
962,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,24,2012-06-11,2012-06-17,,,,,,,,,,,,,,,No Report
963,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,25,2012-06-18,2012-06-24,,,,,,,,,,,,,,,No Report
964,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,26,2012-06-25,2012-07-01,,,,,,,,,,,,,,,No Report
965,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,27,2012-07-02,2012-07-08,,,,,,,,,,,,,,,No Report
966,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,28,2012-07-09,2012-07-15,,,,,,,,,,,,,,,No Report
967,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,29,2012-07-16,2012-07-22,,,,,,,,,,,,,,,No Report
968,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,30,2012-07-23,2012-07-29,,,,,,,,,,,,,,,No Report
969,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,31,2012-07-30,2012-08-05,,,,,,,,,,,,,,,No Report
970,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,32,2012-08-06,2012-08-12,,,,,,,,,,,,,,,No Report
971,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,33,2012-08-13,2012-08-19,,,,,,,,,,,,,,,No Report
972,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,34,2012-08-20,2012-08-26,,,,,,,,,,,,,,,No Report
973,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,35,2012-08-27,2012-09-02,,,,,,,,,,,,,,,No Report
974,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,36,2012-09-03,2012-09-09,,,,,,,,,,,,,,,No Report
975,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,37,2012-09-10,2012-09-16,,,,,,,,,,,,,,,No Report
976,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,38,2012-09-17,2012-09-23,,,,,,,,,,,,,,,No Report
977,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,39,2012-09-24,2012-09-30,,,,,,,,,,,,,,,No Report
978,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,40,2012-10-01,2012-10-07,,,,,,,,,,,,,,,No Report
979,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,41,2012-10-08,2012-10-14,,,,,,,,,,,,,,,No Report
980,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,42,2012-10-15,2012-10-21,,,,,,,,,,,,,,,No Report
981,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,43,2012-10-22,2012-10-28,,,,,,,,,,,,,,,No Report
982,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,44,2012-10-29,2012-11-04,,,,,,,,,,,,,,,No Report
983,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,45,2012-11-05,2012-11-11,,,,,,,,,,,,,,,No Report
984,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,46,2012-11-12,2012-11-18,,,,,,,,,,,,,,,No Report
985,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,47,2012-11-19,2012-11-25,,,,,,,,,,,,,,,No Report
986,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,48,2012-11-26,2012-12-02,,,,,,,,,,,,,,,No Report
987,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,49,2012-12-03,2012-12-09,,,,,,,,,,,,,,,No Report
988,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,50,2012-12-10,2012-12-16,,,,,,,,,,,,,,,No Report
989,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,51,2012-12-17,2012-12-23,,,,,,,,,,,,,,,No Report
990,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2012,52,2012-12-24,2012-12-30,,,,,,,,,,,,,,,No Report
991,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,1,2012-12-31,2013-01-06,,,,,,,,,,,,,,,No Report
992,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,2,2013-01-07,2013-01-13,,,,,,,,,,,,,,,No Report
993,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,3,2013-01-14,2013-01-20,,,,,,,,,,,,,,,No Report
994,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,4,2013-01-21,2013-01-27,,,,,,,,,,,,,,,No Report
995,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,5,2013-01-28,2013-02-03,,,,,,,,,,,,,,,No Report
996,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,6,2013-02-04,2013-02-10,,,,,,,,,,,,,,,No Report
997,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,7,2013-02-11,2013-02-17,,,,,,,,,,,,,,,No Report
998,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,8,2013-02-18,2013-02-24,,,,,,,,,,,,,,,No Report
999,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,9,2013-02-25,2013-03-03,,,,,,,,,,,,,,,No Report
1000,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,10,2013-03-04,2013-03-10,,,,,,,,,,,,,,,No Report
1001,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,11,2013-03-11,2013-03-17,,,,,,,,,,,,,,,No Report
1002,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,12,2013-03-18,2013-03-24,,,,,,,,,,,,,,,No Report
1003,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,13,2013-03-25,2013-03-31,,,,,,,,,,,,,,,No Report
1004,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,14,2013-04-01,2013-04-07,,,,,,,,,,,,,,,No Report
1005,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,15,2013-04-08,2013-04-14,,,,,,,,,,,,,,,No Report
1006,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,16,2013-04-15,2013-04-21,,,,,,,,,,,,,,,No Report
1007,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,17,2013-04-22,2013-04-28,,,,,,,,,,,,,,,No Report
1008,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,18,2013-04-29,2013-05-05,,,,,,,,,,,,,,,No Report
1009,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,19,2013-05-06,2013-05-12,,,,,,,,,,,,,,,No Report
1010,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,20,2013-05-13,2013-05-19,,,,,,,,,,,,,,,No Report
1011,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,21,2013-05-20,2013-05-26,,,,,,,,,,,,,,,No Report
1012,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,22,2013-05-27,2013-06-02,,,,,,,,,,,,,,,No Report
1013,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,23,2013-06-03,2013-06-09,,,,,,,,,,,,,,,No Report
1014,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,24,2013-06-10,2013-06-16,,,,,,,,,,,,,,,No Report
1015,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,25,2013-06-17,2013-06-23,,,,,,,,,,,,,,,No Report
1016,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,26,2013-06-24,2013-06-30,,,,,,,,,,,,,,,No Report
1017,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,27,2013-07-01,2013-07-07,,,,,,,,,,,,,,,No Report
1018,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,28,2013-07-08,2013-07-14,,,,,,,,,,,,,,,No Report
1019,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,29,2013-07-15,2013-07-21,,,,,,,,,,,,,,,No Report
1020,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,30,2013-07-22,2013-07-28,,,,,,,,,,,,,,,No Report
1021,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,31,2013-07-29,2013-08-04,,,,,,,,,,,,,,,No Report
1022,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,32,2013-08-05,2013-08-11,,,,,,,,,,,,,,,No Report
1023,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,33,2013-08-12,2013-08-18,,,,,,,,,,,,,,,No Report
1024,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,34,2013-08-19,2013-08-25,,,,,,,,,,,,,,,No Report
1025,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,35,2013-08-26,2013-09-01,,,,,,,,,,,,,,,No Report
1026,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,36,2013-09-02,2013-09-08,,,,,,,,,,,,,,,No Report
1027,Anguilla,Region of the Americas of WHO,Central America and Caribbean,2013,37,2013-09-09,2013-09-15,,,,,,,,,,,,,,,No Report
